artists,artists_id
DAVID AUGUST,spotify:artist:1cS5EoXVqz7aON00AkVBBA
Stephan Bodzin,spotify:artist:2nq2BeSbzExGAv3Y4HgUf7
George Shearing,spotify:artist:7uUBTiZ2u5b40vymlFmXrn
Stimming,spotify:artist:2yPveJtn9DpeN0CgNJHvAQ
Magdalena,spotify:artist:4wlgF2WCCPNhQ0FpNwO3vc
"['Christian Löffler', 'Gry', 'Mind Against']","['spotify:artist:3tSvlEzeDnVbQJBTkIA6nO', 'spotify:artist:21cjK2u7tOVLVXW2tz8KTO', 'spotify:artist:48LWLoeY0dhwaiX1FRsn72']"
Tale Of Us,spotify:artist:1UL813H5aj3e8ekE5RqWqc
"['F.S. Blumm', 'Nils Frahm']","['spotify:artist:4cHtgM7lauSNaau5uAm5Cc', 'spotify:artist:5gqhueRUZEa7VDnQt4HODp']"
Recondite,spotify:artist:1doQgXssRfKnLx70adszbK
Stephan Bodzin,spotify:artist:2nq2BeSbzExGAv3Y4HgUf7
Stephan Bodzin,spotify:artist:2nq2BeSbzExGAv3Y4HgUf7
Soul Button,spotify:artist:5mcH5yOO7QWoT8CuL8JxEm
"['KAS:ST', 'Be No Rain', 'Tale Of Us']","['spotify:artist:7orlzf5LTqSnCzURkZFebN', 'spotify:artist:0ToTNYPspLv4FWbcpXgOUt', 'spotify:artist:1UL813H5aj3e8ekE5RqWqc']"
"['Tale Of Us', 'Vaal', 'Stephan Bodzin']","['spotify:artist:1UL813H5aj3e8ekE5RqWqc', 'spotify:artist:71Og13tJyEC23Eom0pb0BP', 'spotify:artist:2nq2BeSbzExGAv3Y4HgUf7']"
"['Rampa', '&ME', 'Adam Port', 'Black Coffee']","['spotify:artist:08jywfUS0hp8XYlYs0cvz8', 'spotify:artist:5mIowAJMp7RKNheelruV5z', 'spotify:artist:2loEsOijJ6XiGzWYFXMIRk', 'spotify:artist:6wMr4zKPrrR0UVz08WtUWc']"
Sammy Davis Jr.,spotify:artist:1NAWG3AngjBXyKbmPaz92D
Rodriguez Jr.,spotify:artist:6Th7POyVfZgiHJQ64ddV5Y
KAS:ST,spotify:artist:7orlzf5LTqSnCzURkZFebN
"['Jules Massenet', 'Joshua Bell', 'Andrew Litton', 'Royal Philharmonic Orchestra']","['spotify:artist:1AoIc5YFH0aSFc4mKqBEeB', 'spotify:artist:3Ka1nDpDzxDveEqUPzIeom', 'spotify:artist:6YVQX2N8puDVWKE1StJVqn', 'spotify:artist:0MvSBMGRQJY3mRwIbJsqF1']"
"['Pyotr Ilyich Tchaikovsky', 'Mischa Maisky', 'Orpheus Chamber Orchestra']","['spotify:artist:3MKCzCnpzw3TjUYs2v7vDA', 'spotify:artist:6rlVhQqS15yJMO4DZqrq6I', 'spotify:artist:35pZsti1RSA5Zv98jAm8kX']"
"['Wolfgang Amadeus Mozart', 'Anthony Halstead', 'Christopher Hogwood', 'Academy of Ancient Music']","['spotify:artist:4NJhFmfw43RLBLjQvxDuRS', 'spotify:artist:2SSWdLQmVLFOZ2tTm2PqHS', 'spotify:artist:0vBafEFOLXtq5mZuhMgsyL', 'spotify:artist:60adCptqwRkANTtVja0bvf']"
Aldo Romano,spotify:artist:1Z0lthC9NP1vvut7ijv3FF
DAVID AUGUST,spotify:artist:1cS5EoXVqz7aON00AkVBBA
"['Franz Liszt', 'Daniel Barenboim']","['spotify:artist:1385hLNbrnbCJGokfH2ac2', 'spotify:artist:78sEozQOEJxzXegUuqRSgH']"
Paji,spotify:artist:7JlIc6aw1PyoBKQg9c1EnJ
DAVID AUGUST,spotify:artist:1cS5EoXVqz7aON00AkVBBA
