added_at_playlist,uri,name,popularity,duration_ms,is_explicit,album_name,album_release_date
2018-11-04T03:34:35Z,spotify:track:7rK9aoNd8J5G35mbOO39zJ,Tanz für Drei,26,535413,False,Alpe Lusia,2016-04-29
2018-11-04T03:28:43Z,spotify:track:0qCiXEFQCtemGdMnXUKXpB,Lost Miracle - Original Version,32,603716,False,Lost Miracle,2018-01-19
2018-10-28T16:25:55Z,spotify:track:28aP3PxAq6xXQmsJ9ie6tj,Black Hole Nights,40,503738,False,Oliver Koletzki presents Stil vor Talent 100,2013-05-24
2018-10-28T16:20:04Z,spotify:track:1BpG59DLyW6jZxN2PYiUA3,2daBeat,53,329787,False,Musik 3,2017-05-26
2018-10-28T13:11:12Z,spotify:track:45D0ixQWzXQOoU1S9aSnKk,Under The Pressure,60,532306,False,Lost In The Dream,2014-03-18
2018-10-28T13:10:52Z,spotify:track:6t4Ua2xbst0sPSomL1TLFh,Le chat,33,168813,False,Le chat,2016-02-05
2018-10-28T13:03:16Z,spotify:track:3707RomldTMJP5gJdXwVOh,Jericho,43,228758,False,Jericho,2017-10-06
2018-10-17T13:08:46Z,spotify:track:5pdE0kDAl6OrYP4HcvNR2V,Kerberos - Synthappella,14,544538,False,Kerberos & Styx,2014-09-22
2018-10-17T13:08:43Z,spotify:track:4nRnBrZ4yIdMTC9E1QxTTH,Kerberos Revisited - Solomun & Johannes Brecht Remix,31,512767,False,Kerberos (Remixes),2018-09-07
2018-10-17T13:08:40Z,spotify:track:5dxVa2HfMjJ6UNCPsXJOdD,Kerberos - Original Mix,32,543750,False,Kerberos & Styx,2014-09-22
2018-10-17T00:46:05Z,spotify:track:0yuJtvXsapVOQfNDYxQ5mw,Singularity,54,421306,False,Powers of Ten,2015-06-12
2018-10-17T00:46:02Z,spotify:track:1Ou1g6tCGdwp2SFnNyfZXw,Atlas - Adriatique Remix,49,377738,False,Atlas (Remixes),2016-07-01
2018-10-17T00:46:00Z,spotify:track:25p9XNt3mA4XVPBAgDOWH5,Sungam - Patrice Bäumel Remix,13,447227,False,Sungam (Remixes),2015-05-25
2018-10-17T00:43:30Z,spotify:track:3IXce4AEIQaWdLKY67yaxW,Odyssee,29,437876,False,Powers of Ten,2015-06-12
2018-10-17T00:42:07Z,spotify:track:77LDw3TzzOoAsqCAn7lQ4m,Claire - Original Mix,38,419981,False,Chemical Gardens EP,2013-03-11
2018-10-10T16:11:58Z,spotify:track:50MkrUXSXsS1Q1bn95XQcm,Sleepless - Stephan Bodzin Remix,51,540000,False,The Other Remixes,2015-12-25
2018-10-03T10:31:30Z,spotify:track:1iNeZGJsoC0D7ZyJTdIbDS,Technologic,62,284280,False,Human After All,2005-03-14
2018-10-03T10:31:25Z,spotify:track:2LD2gT7gwAurzdQDQtILds,Veridis Quo,70,345186,False,Discovery,2001-03-12
2018-10-03T10:21:39Z,spotify:track:2QGdtMHz870R0dG05pePKJ,Song Of The Open Road / Song Of Myself,20,221320,False,New Worlds,2017-09-29
2018-09-15T12:50:03Z,spotify:track:4V0Ta8BzcGhF8L9QE22Tfv,No más lágrimas - Live,45,236626,False,Tour 2007,2007-12-18
2018-09-15T12:49:55Z,spotify:track:6wlpu5LMThkcS9BIdrxJiS,La herida - Live,39,296960,False,Tour 2007,2007-12-18
2018-09-15T12:49:43Z,spotify:track:32pEvywtheyRa9P68jXu5u,La carta - Live,48,193680,False,Tour 2007,2007-12-18
2018-09-15T12:45:13Z,spotify:track:0LUC6ZQNaTtI8IFMXHALCo,La sirena varada - Live,41,266066,False,Tour 2007,2007-12-18
2018-09-15T12:45:07Z,spotify:track:2UDS1eIYjO5iAuggMGQTbo,Agosto - Live,46,271320,False,Tour 2007,2007-12-18
2018-09-15T12:45:05Z,spotify:track:3RsirjLuHRiYWldbFHAQEV,Mar adentro - Live,41,250880,False,Tour 2007,2007-12-18
2018-09-15T12:45:02Z,spotify:track:0Qa2yMJbazN7pVYpJtuLuJ,Deshacer el mundo - Live,41,333626,False,Tour 2007,2007-12-18
2018-09-15T12:45:00Z,spotify:track:2vrVlidqD4TPASvwqlBztv,El estanque - Live,49,280560,False,Tour 2007,2007-12-18
2018-09-14T22:34:20Z,spotify:track:6pAvXn45z0sktftypuEEzt,Héroe de leyenda,64,248986,False,El Mar No Cesa- Edición Especial,1988-09-01
2018-09-14T22:34:17Z,spotify:track:2QWiLP3WiFMtmJ08nUTWUC,Avalancha,56,358133,False,Avalancha,1995-09-14
2018-09-14T10:36:34Z,spotify:track:1Oo6emBm60fXZJU2RCeWpH,Mar adentro,55,241280,False,El Mar No Cesa- Edición Especial,1988-09-01
2018-09-14T10:36:32Z,spotify:track:0wMditvMpFP9aYzW3kDWnw,Tráeme la Noche (Bring on the Night) (with Andy Summers),56,283466,False,Tráeme la Noche (Bring on the Night) (with Andy Summers),1998
2018-09-09T01:41:58Z,spotify:track:7gTFFOFM1VF5e9uy98suHw,Tio Alberto,43,200666,False,Mediterráneo,1971
2018-08-28T10:22:13Z,spotify:track:6lTTzSk1hRrxp4VMwXBp2l,My Way,60,274933,False,Ultimate Sinatra,2015-04-21
2018-08-25T02:27:54Z,spotify:track:4mtuNHpGWzZn2SRv854xTj,D'ANGELO,0,390385,False,D'ANGELO,2018-07-05
2018-08-24T16:05:39Z,spotify:track:2CrDVYa3IBaO0SCnlQ8R3k,I Don't Smoke,28,432627,False,I Don´t Smoke,2011-06-06
2018-08-24T13:04:36Z,spotify:track:6cLdkAy1rv9eLn5IHYbif1,Connaisseur - Original Mix,26,517456,False,"10Y of Connaisseur, Part 1",2016-05-30
2018-08-24T13:01:11Z,spotify:track:1wIR3qVYJvTzKNMorogFdu,Cheer Up,33,354152,False,Cheer Up EP,2013-10-04
2018-08-24T11:00:20Z,spotify:track:7bZS37zs7WNnQ6me2ooOri,So Weit Wie Noch Nie,45,261133,False,Hôtel Costes 15,2011-09-26
2018-08-24T10:21:10Z,spotify:track:0ckQisPWJY3IDrYXsqY7r7,It Grows Again,33,440250,False,It Grows Again,2013-11-04
2018-08-24T00:57:41Z,spotify:track:7FDeoUBciyiGMQkB8dL4aR,We Come Running - Vicetone Remix,36,347440,False,We Come Running (Remixes),2012-01-01
2018-08-23T12:31:02Z,spotify:track:2iLxXSM7AOzB4RCNzk4bjd,Destruction,59,184413,False,How Do You Feel Now?,2015-04-14
2018-08-23T10:20:43Z,spotify:track:0eehHRQY2nlimtLjCI9xRf,We Come Running,57,247506,False,Wake Up,2013-01-01
2018-08-22T00:17:21Z,spotify:track:3TIkuJp4rqDnQgpNkkpxLr,The Trip,10,374240,False,Strange Pleasures,2013-05-07
2018-08-09T12:39:10Z,spotify:track:42iMXyOvLeD2vKu7ZlREVh,Cloud Rider,60,391480,False,7,2015-08-07
2018-08-01T14:05:34Z,spotify:track:6jWZBjuAc6OMCwgnIg3gdQ,My Head Is A Jungle - MK Remix,42,517222,False,"My Head Is A Jungle (The Remixes, Pt. 1)",2014-08-17
2018-08-01T14:05:32Z,spotify:track:13QBrKQx6FEl03szDe5AOp,Phases,43,508466,False,Phases,2017-03-08
2018-07-20T23:09:53Z,spotify:track:2SCLswvRP8hAYdIKsrLV6h,The Finishing,61,482983,False,The Ginning,2015-09-28
