added_at_playlist,uri,username,name,popularity,duration_ms,is_explicit,album_name,album_release_date
2019-07-14T14:41:50Z,spotify:track:2acK24b60RQD2zBpW0Zsrw,Lina,Blind - Radio Edit,60,345560,False,Blind,2008-02-29
2019-07-14T14:41:39Z,spotify:track:66tVQAjnbJD0Wgdciwy5JW,Lina,Destination Breakdown,14,464426,False,Mirage,2016-05-13
2019-07-14T14:41:16Z,spotify:track:5KX2DSPC6aCA0pdDidTmBC,Lina,The Rip,47,270946,False,Third,2008-01-01
2019-07-11T08:50:03Z,spotify:track:0KWcRXcnGoB0gWSu4mshF8,Lina,Electric Blue,54,242373,False,Everything Now,2017-07-28
2019-07-11T08:49:54Z,spotify:track:6VNooTY5w9A9wg1YUsEbKB,Lina,Midas,69,218357,False,Portraits,2015-06-01
2019-07-10T21:55:35Z,spotify:track:2k9N4caeCIJLOWwWwssrEM,Lina,Easily,77,210240,False,A Song For Every Moon,2017-08-31
2019-07-10T21:52:02Z,spotify:track:3DNsBFRbQWxygrn4UsqvTF,Lina,Stoop So Low,54,197938,True,Stoop So Low,2016-11-07
2019-07-06T01:34:43Z,spotify:track:2I88NEWpKrAPZuapXNV5G6,Lina,Belong to You (feat. 6LACK),69,185617,False,About Time,2017-10-05
2019-07-06T01:28:29Z,spotify:track:3jCVbYlg9yXcTLEcN7PIL4,Lina,Fool,14,197646,False,Fool,2016-09-20
2019-07-05T13:00:24Z,spotify:track:5XkyZyKMdFungjDb9cUKc3,Lina,A Brand New Day (BTS World Original Soundtrack) [Pt. 2],67,205019,False,A Brand New Day (BTS World Original Soundtrack) [Pt. 2],2019-06-14
2019-07-05T12:59:50Z,spotify:track:4c1WgUnHXq2LEncGHKgj1I,Lina,Dream Glow (BTS World Original Soundtrack) - Pt. 1,68,187457,False,Dream Glow (BTS World Original Soundtrack) [Pt. 1],2019-06-07
2019-07-04T05:24:51Z,spotify:track:18gcopzbu2DjQjR2DI5pE8,Lina,Plastic,57,188557,False,Aromanticism,2017-09-22
2019-07-04T05:24:50Z,spotify:track:6zcARpNpbhakJqS7pcXPfM,Lina,Doomed,53,267653,False,Aromanticism,2017-09-22
2019-07-04T05:20:57Z,spotify:track:6TqXcAFInzjp0bODyvrWEq,Lina,Talk (feat. Disclosure),77,197573,False,Free Spirit,2019-04-05
2019-07-03T13:38:31Z,spotify:track:3NxuezMdSLgt4OwHzBoUhL,Lina,Way Back Home,74,214136,False,Take,2018-06-27
2019-07-01T02:38:03Z,spotify:track:2qXicQG06oT0ijKBznpgQv,Lina,Younger,68,222320,False,Younger,2018-06-05
2019-07-01T02:09:06Z,spotify:track:7vRriwrloYVaoAe3a9wJHe,Lina,"i hate u, i love u (feat. olivia o'brien)",81,251033,True,us,2016-03-25
2019-07-01T02:08:52Z,spotify:track:7FGq80cy8juXBCD2nrqdWU,Lina,Eastside (with Halsey & Khalid),75,170769,False,FRIENDS KEEP SECRETS,2018-12-07
2019-06-26T17:03:34Z,spotify:track:7ef4DlsgrMEH11cDZd32M6,Lina,One Kiss (with Dua Lipa),83,214846,False,One Kiss (with Dua Lipa),2018-04-06
