uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
spotify:track:3SD1uZIMgMlL0CRZNI9VdV,0.261,0.277,4,-22.235,0,0.0816,0.716,0.0808,0.102,0.0672,119.985
spotify:track:7x1ct7s9fVqkIWwbah9NO1,0.0657,0.0608,7,-28.669,0,0.0422,0.972,0.963,0.107,0.0699,66.706
spotify:track:7xcbZmyRu9PA4iKeTe3aKS,0.452,0.301,4,-16.096,0,0.0491,0.688,0.0577,0.104,0.317,144.103
spotify:track:2xx0FWH2Nb7Cwl65xxIaUy,0.504,0.974,1,-6.73,0,0.127,0.0551,0.000495,0.386,0.618,137.149
spotify:track:1dS0Mt5vf0wqDly1DwfLeZ,0.239,0.788,5,-12.697,0,0.38,0.858,0.559,0.118,0.343,99.979
spotify:track:3pHck24CChlWo2443GaOS3,0.201,0.472,10,-10.156,1,0.0408,0.957,0.953,0.113,0.205,179.806
spotify:track:5QOdy5GeehZ3WAYQZnfW3W,0.737,0.566,1,-12.585,1,0.142,0.208,0.872,0.364,0.145,158.074
spotify:track:3zj1krpb1dKwYRTqDThNr4,0.562,0.211,1,-16.223,1,0.0296,0.519,0.926,0.112,0.0316,83.98
spotify:track:4Tg0ra2NwFahHXiboKtfPW,0.274,0.787,8,-10.634,1,0.0495,0.06,0.689,0.133,0.143,92.635
spotify:track:7uMZFFJ40W1Ufe2NuXxK26,0.374,0.316,2,-14.566,1,0.032,0.863,0.942,0.124,0.0374,112.58
spotify:track:01ufrDfHQt4xlSpqdgbxUz,0.585,0.272,7,-7.948,1,0.0284,0.841,0.494,0.0821,0.134,76.263
spotify:track:7szZZdxzhAn8DKTk3kEyma,0.44,0.647,0,-11.154,1,0.0637,0.598,0.779,0.188,0.196,108.748
spotify:track:7Ac4s39oPQY5ruGivV7IX7,0.65,0.36,2,-13.938,1,0.0325,0.89,0.225,0.134,0.387,130.8
spotify:track:021Uxj35X52xeXHjCZEFNx,0.339,0.0679,5,-20.843,1,0.038,0.883,0.835,0.0976,0.036,67.77
spotify:track:6TzyEjhrZHE2jC2sENvZOg,0.717,0.631,8,-8.595,0,0.135,0.243,0.862,0.126,0.277,164.335
spotify:track:516mSAZ3wVsJHIIu2BAluA,0.75,0.786,1,-5.059,0,0.0331,0.00248,0.00155,0.489,0.0379,111.181
spotify:track:4igPel7JdcarDf3bzzofjc,0.669,0.925,2,-5.244,1,0.0369,0.000681,0.632,0.522,0.0968,120.01
spotify:track:5HHv6hIqQWpGcFySzJZHty,0.0969,0.997,1,-3.505,1,0.199,3.69e-05,0.935,0.353,0.317,169.405
spotify:track:6XVDZoNVGvWhfSoqQhjJZI,0.629,0.579,10,-8.544,1,0.0255,0.301,0.22,0.116,0.475,106.673
spotify:track:1CxnzQ5pmOua6owkky7xUD,0.448,0.262,3,-12.644,1,0.0278,0.954,0.498,0.131,0.254,97.272
spotify:track:147unUi3ML4lWVCMYhSMrF,0.617,0.296,7,-13.913,0,0.0298,0.969,0.339,0.0824,0.509,134.975
spotify:track:1XwgsaVrEqkKbK09oo4gra,0.488,0.27,3,-13.359,1,0.0304,0.966,0.362,0.112,0.302,135.179
spotify:track:3JQss8SAZIIkVo3c8SkCTE,0.337,0.14,5,-14.92,1,0.0332,0.947,0.305,0.0997,0.105,131.523
spotify:track:4awQE2dTQYX5QAZNTaQfTF,0.554,0.497,7,-15.492,1,0.131,0.0961,0.602,0.498,0.32,113.011
spotify:track:7enC3VGSZI3KB8txyUVgru,0.481,0.62,0,-8.466,1,0.438,0.494,0,0.246,0.36,91.753
spotify:track:0Pbscg9OvoaqlGZln2dkNt,0.622,0.304,4,-10.552,1,0.0284,0.961,0.00397,0.105,0.249,110.128
spotify:track:1JihwKk6BaWFdyCRxsKE1k,0.358,0.961,0,-6.026,1,0.104,0.0465,0.993,0.856,0.134,126.889
spotify:track:38wakZ93YNvmqkllWLfcYJ,0.804,0.582,9,-6.068,0,0.0265,0.592,0.00118,0.0802,0.824,109.041
spotify:track:3c7CEnNLplZu4C11H6xBkl,0.157,0.505,2,-19.229,1,0.0905,0.973,0.941,0.108,0.133,78.287
