added_at_playlist,uri,name,popularity,duration_ms,is_explicit,album_name,album_release_date
2020-03-27T22:02:32Z,spotify:track:4Tg0ra2NwFahHXiboKtfPW,"Showreel, Pt. 2",25,541427,False,"Showreel, Pt. 2",2017-10-10
2020-03-26T04:17:25Z,spotify:track:7uMZFFJ40W1Ufe2NuXxK26,Brazil,3,289970,False,Brazil,2017-10-27
2020-03-18T00:42:40Z,spotify:track:01ufrDfHQt4xlSpqdgbxUz,One Of My Shades,27,234489,False,"""I Could Go Anywhere But Again I Go With You""",2018-01-19
2020-02-27T22:51:01Z,spotify:track:7szZZdxzhAn8DKTk3kEyma,なぜ?,18,281243,False,Crumbling,2018-12-04
2020-02-27T19:23:40Z,spotify:track:7Ac4s39oPQY5ruGivV7IX7,Song 36,21,258551,False,Betting on an Island,2018-02-26
2020-02-19T19:30:29Z,spotify:track:021Uxj35X52xeXHjCZEFNx,Ceiling Gazing,40,489173,False,Perils from the Sea,2013-04-30
2020-02-13T19:37:32Z,spotify:track:6TzyEjhrZHE2jC2sENvZOg,With an Addict,36,424700,False,2017 - 2019,2020-02-07
2020-02-13T19:24:19Z,spotify:track:516mSAZ3wVsJHIIu2BAluA,"If You Can't Do It Good, Do It Hard",37,237522,True,2017 - 2019,2020-02-07
2020-02-13T15:09:51Z,spotify:track:4igPel7JdcarDf3bzzofjc,Alarm,35,111977,False,2017 - 2019,2020-02-07
2020-02-07T16:55:29Z,spotify:track:5HHv6hIqQWpGcFySzJZHty,Bouncy House,18,278682,False,Sonic Citadel,2019-10-11
2020-02-07T16:46:14Z,spotify:track:6XVDZoNVGvWhfSoqQhjJZI,Mythological Beauty,51,306760,False,Capacity,2017-06-09
2020-02-06T17:03:14Z,spotify:track:1CxnzQ5pmOua6owkky7xUD,abyss kiss,33,183040,False,abysskiss,2018-10-05
2020-02-06T16:53:23Z,spotify:track:147unUi3ML4lWVCMYhSMrF,cradle,34,197400,False,abysskiss,2018-10-05
2020-02-06T16:43:16Z,spotify:track:1XwgsaVrEqkKbK09oo4gra,from,34,218826,False,abysskiss,2018-10-05
2020-02-06T16:40:45Z,spotify:track:3JQss8SAZIIkVo3c8SkCTE,terminal paradise,37,239573,False,abysskiss,2018-10-05
2020-01-31T19:31:14Z,spotify:track:4awQE2dTQYX5QAZNTaQfTF,Illusions of Shameless Abundance,24,351326,True,Illusions of Shameless Abundance,2020-01-31
2020-01-30T23:16:26Z,spotify:track:7enC3VGSZI3KB8txyUVgru,Gorgeous,44,255721,False,Nothing Great About Britain,2019-05-17
2020-01-30T16:35:24Z,spotify:track:0Pbscg9OvoaqlGZln2dkNt,blue and red horses,34,197266,False,abysskiss,2018-10-05
2020-01-30T05:31:45Z,spotify:track:1JihwKk6BaWFdyCRxsKE1k,Don Henley In The Park,17,229878,False,Sonic Citadel,2019-10-11
2020-01-30T05:24:14Z,spotify:track:38wakZ93YNvmqkllWLfcYJ,Home To You,42,327198,False,Reward,2019-05-24
2019-12-26T05:25:19Z,spotify:track:3c7CEnNLplZu4C11H6xBkl,Disengaged,42,256826,False,Dragging a Dead Deer Up a Hill,2008
2019-12-26T05:25:19Z,spotify:track:7smnmEyvR4MtnyqK9eiAjx,Stuck,37,359826,False,Dragging a Dead Deer Up a Hill,2008
2019-12-26T05:25:19Z,spotify:track:7gePpUawLnGf1l1fnltiIR,When We Fall,41,127680,False,Dragging a Dead Deer Up a Hill,2008
2019-12-26T05:25:19Z,spotify:track:5uOBRzLWxGnE564iW0PF7y,Traveling Through a Sea,34,263960,False,Dragging a Dead Deer Up a Hill,2008
2019-12-26T05:25:19Z,spotify:track:637sViSUUQTBice1wmz5id,Fishing Bird (Empty Gutted in the Evening Breeze),34,231800,False,Dragging a Dead Deer Up a Hill,2008
2019-12-26T05:25:19Z,spotify:track:3pegwzmIu6j8rWq6G7z8Np,Invisible,36,235026,False,Dragging a Dead Deer Up a Hill,2008
2019-12-26T05:25:19Z,spotify:track:2lFoxhUEGpKoSHetkKHIAw,I'm Dragging a Dead Deer Up a Hill,35,141746,False,Dragging a Dead Deer Up a Hill,2008
2019-12-26T05:25:19Z,spotify:track:0wFYNeVAVjp7VXxYTLK5yF,A Cover Over,32,168560,False,Dragging a Dead Deer Up a Hill,2008
