uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
spotify:track:0UaMYEvWZi0ZqiDOoHU3YI,0.904,0.813,4,-7.105,0,0.121,0.0311,0.00697,0.0471,0.81,125.461
spotify:track:3jagJCUbdqhDSPuxP8cAqF,0.884,0.677,1,-5.603,1,0.283,0.0778,0,0.0732,0.584,101.868
spotify:track:6zsk6uF3MxfIeHPlubKBvR,0.797,0.75,0,-9.369,1,0.247,0.533,0.108,0.095,0.74,177.87
spotify:track:6nBQFAIVFmAx2oZ8p6lUg6,0.833,0.722,1,-5.563,1,0.136,0.0573,1.14e-05,0.358,0.588,107.019
spotify:track:6CbcdeTQKj0qTaZTt0xkdk,0.727,0.515,2,-6.553,0,0.0289,0.241,3.74e-06,0.124,0.695,89.488
spotify:track:6pWzCKTrKrwbUPzY8RLCoP,0.71,0.797,4,-3.006,0,0.0582,0.408,0,0.16,0.849,94.998
spotify:track:6zMUIb4uce1CzpbjR3vMdN,0.665,0.695,0,-5.763,1,0.0532,0.347,0,0.106,0.707,90.119
spotify:track:0nMy2qZ3UXvV1WCosahGTW,0.722,0.567,7,-8.227,0,0.0294,0.198,0,0.0743,0.634,91.911
spotify:track:6tDxrq4FxEL2q15y37tXT9,0.773,0.54,6,-7.123,1,0.103,0.371,0,0.131,0.322,84.115
spotify:track:6uRH1qMz30ZBwwUG0IYE5s,0.912,0.511,9,-6.365,1,0.203,0.0259,0,0.0442,0.611,101.628
spotify:track:2qPx2QWd7vp8XxgeD9Wn5W,0.788,0.626,0,-8.582,1,0.354,0.262,0,0.0791,0.74,87.96
spotify:track:6KoaqyDrVtZmlWET7Nf9Ez,0.854,0.524,6,-5.421,0,0.209,0.346,0,0.0684,0.792,92.587
spotify:track:4AE7Lj39VnSZNOmGH2iZaq,0.874,0.63,1,-3.585,1,0.298,0.0578,0.00479,0.0582,0.717,95.0
spotify:track:7MQywXGHEev7JmwwIzMcao,0.767,0.551,0,-7.328,1,0.0616,0.00364,0,0.0451,0.796,100.904
spotify:track:0GCr34G7GoGu5eo0VXHoQb,0.767,0.641,6,-8.333,0,0.0791,0.00162,0.76,0.111,0.0376,115.991
spotify:track:1qbXrxctv75pm1lWCn6Zw3,0.701,0.663,6,-7.227,1,0.202,0.0123,1.04e-05,0.131,0.334,100.001
spotify:track:1WwdJXBxpYiCx16tFaJSuc,0.851,0.498,6,-4.615,0,0.0628,0.399,0,0.107,0.537,142.075
spotify:track:3eNSdI9oriVPpuqkpO4h31,0.545,0.35,7,-13.155,1,0.0264,0.541,2.18e-05,0.122,0.736,96.239
spotify:track:73cn6vDBBOS74HXf27l9t4,0.653,0.7,11,-15.138,0,0.038,0.692,0.859,0.102,0.51,132.944
spotify:track:02BwlHD6hUNn3kzySLfqMq,0.617,0.5,6,-5.747,1,0.034,0.386,0.00521,0.107,0.516,90.026
spotify:track:3eoNUm0LU9hATVVi9w4fM6,0.569,0.84,1,-4.123,1,0.118,0.0295,0.000118,0.0995,0.749,183.059
spotify:track:50aTwBKhPD3D3BW04UtjmA,0.548,0.655,7,-6.05,1,0.11,0.00478,0,0.125,0.183,179.884
spotify:track:3ClBKQkKoaUQ6UOhe2xlJK,0.794,0.32,1,-12.92,0,0.173,0.853,0.134,0.112,0.241,174.088
spotify:track:20MuVazoNMv6xjKPnRFOxG,0.741,0.645,11,-5.116,0,0.0963,0.192,0,0.163,0.488,149.07
spotify:track:2WuzAwiZzest2eONspeXMA,0.793,0.851,7,-6.303,1,0.0599,0.000107,0.669,0.032,0.62,120.002
spotify:track:6sHsXIJoEN5JpdkGMQDJxt,0.704,0.707,1,-6.537,0,0.0391,0.539,0.00106,0.318,0.761,93.145
spotify:track:48JAAdtKgOQ4u4QRER6bJX,0.6,0.556,1,-7.294,1,0.026,0.624,0.00735,0.0837,0.233,105.957
spotify:track:0ncKBXed6bqjse7FZJHydU,0.681,0.297,3,-7.778,0,0.0306,0.802,0,0.222,0.248,98.502
spotify:track:5aMY3ni10LaqUldipYyUSd,0.686,0.441,11,-7.81,1,0.0261,0.473,0,0.0883,0.593,93.98
spotify:track:6tBD4yjOf9P8rWwUlXdJFm,0.698,0.533,2,-6.246,1,0.0437,0.542,0,0.333,0.275,134.001
spotify:track:6LoQHIo74tOzQ8EsLEkhgF,0.546,0.787,7,-4.1,0,0.0517,0.0101,0.00021,0.0809,0.573,79.979
spotify:track:1oFiPGBafH9Woo9AMwgBSl,0.617,0.879,0,-7.564,0,0.0455,0.127,5.71e-05,0.339,0.746,114.453
spotify:track:56HHp4XoDpUvDVWI6heIfr,0.533,0.908,0,-8.688,1,0.13,0.0324,2.13e-05,0.0732,0.559,121.541
spotify:track:3kOjVFw4sgfAl3BhPBQubG,0.71,0.19,4,-11.137,1,0.0401,0.697,0,0.0788,0.495,105.14
spotify:track:70RK8WEbDBmekhXKtqI1Ej,0.653,0.355,1,-12.43,0,0.0456,0.317,3.85e-05,0.116,0.406,155.988
spotify:track:2W8d6AkRCP2qD89z1zK5MJ,0.917,0.541,0,-8.345,1,0.0944,0.145,3.25e-05,0.0409,0.752,101.005
spotify:track:4BokCZjL92n7h7Q1OaTGPf,0.376,0.355,4,-7.772,1,0.0407,0.597,0,0.11,0.37,98.232
spotify:track:360FnLgZGXLTy0twHgB2PS,0.525,0.892,5,-9.613,0,0.045,0.646,0.923,0.0934,0.767,186.258
spotify:track:174rZBKJAqD10VBnOjlQQ3,0.684,0.455,5,-8.216,1,0.0307,0.215,1.08e-06,0.263,0.487,97.956
spotify:track:1rsjEh7NopIh4Rx67P7ta6,0.395,0.5,0,-6.111,1,0.0347,0.727,0,0.113,0.268,145.716
spotify:track:31er9IGsfFbwqy1pH4aiTP,0.541,0.401,0,-10.499,1,0.0365,0.576,0,0.164,0.24,152.943
spotify:track:1jisR33Bck5thSyt75iR2c,0.677,0.478,9,-6.891,1,0.0448,0.595,0,0.298,0.232,134.08
spotify:track:6nIcGJK6Pj1ThzC6r8O8hA,0.491,0.73,2,-4.399,0,0.0432,0.039,0,0.112,0.461,87.098
spotify:track:7IljDTNkQEyy77CcaRbiAj,0.231,0.477,10,-7.748,1,0.029,0.747,2.61e-06,0.122,0.235,95.969
spotify:track:6dZ6qWl1e9GsMndBG7vqB9,0.701,0.692,9,-4.67,0,0.115,0.699,0,0.177,0.688,90.193
spotify:track:4YZaLNrZgiEztlf4TLMJuD,0.638,0.497,10,-6.257,0,0.0368,0.0341,0,0.136,0.505,126.006
spotify:track:3hc7PLcmuZbJGPjhIore1i,0.394,0.821,6,-4.304,0,0.0404,0.00302,0.019,0.186,0.509,82.764
spotify:track:7oeAmjYo4MJDklImlVSavw,0.817,0.596,1,-6.426,0,0.065,0.235,0,0.389,0.809,130.102
spotify:track:4ZEfDHV29vbM5conksivxy,0.764,0.784,9,-6.511,1,0.208,0.0121,0,0.0778,0.372,112.973
spotify:track:7pueMCX3VIGy3pM83PuCMz,0.715,0.725,0,-4.943,1,0.0511,0.0202,0.000206,0.239,0.529,120.011
spotify:track:47TqCCnEliDp8NRDyIQoQq,0.761,0.639,5,-7.577,0,0.0539,0.0359,0,0.0945,0.922,164.088
spotify:track:312WNtMs3F28cUukaPY9bo,0.658,0.623,0,-6.934,1,0.0398,0.0683,0,0.321,0.207,100.436
spotify:track:3m2fuTHJMXCnxiIBilSQrE,0.547,0.717,11,-11.532,1,0.0803,0.00156,0.825,0.134,0.611,135.02
spotify:track:2pSbGaFMqJFABUnPKhBeP4,0.437,0.886,7,-4.392,1,0.0642,0.0136,0,0.357,0.753,156.168
spotify:track:1CuefebBgws7i3xpkVPFbw,0.501,0.782,1,-4.067,0,0.0298,0.000978,0.00112,0.0835,0.431,127.092
spotify:track:1i5oEx2vFczQ2sCY3c6Kn5,0.485,0.328,7,-11.853,1,0.0254,0.00596,0.0032,0.325,0.138,79.766
spotify:track:5cQB9fbuQCz4muQUFkv3rR,0.347,0.578,8,-7.525,1,0.0626,0.445,0,0.231,0.226,86.73
spotify:track:07IlTJZln2vfZtJ7vR4IMf,0.631,0.709,3,-3.279,1,0.0698,0.285,0,0.236,0.525,77.539
spotify:track:5JXiWu9sTkRyOEyC1OQeJM,0.848,0.449,7,-8.92,1,0.0366,0.595,6.39e-05,0.165,0.655,88.032
spotify:track:1ghlpxVfPbFH2jenrv9vVw,0.471,0.411,2,-15.755,1,0.041,0.733,0.853,0.28,0.282,79.986
spotify:track:3hQ3u1yJvWKCOZzUHVzYxS,0.592,0.489,1,-10.509,1,0.0385,0.806,1.25e-05,0.116,0.196,98.47
spotify:track:6MlM7j7otOKpa0jFi8htxm,0.618,0.368,8,-16.462,0,0.0363,0.769,0.0113,0.122,0.769,164.871
spotify:track:5spAjqC772iC2KzDvEkmSr,0.332,0.22,5,-13.157,1,0.036,0.821,0.000205,0.245,0.0719,100.196
