artists,artists_id
070 Shake,spotify:artist:12Zk1DFhCbHY6v3xep2ZjI
Mac Miller,spotify:artist:4LLpKhyESsyAXpc4laK94U
Travis Scott,spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY
Bicep,spotify:artist:73A3bLnfnz5BoQjb4gNCga
"['Brandy', 'Monica']","['spotify:artist:05oH07COxkXKIMt6mIPRee', 'spotify:artist:6nzxy2wXs6tLgzEtqOkEi2']"
Natalie,spotify:artist:4lFOyLUXnV2Emuus9X8xpA
Natalie,spotify:artist:4lFOyLUXnV2Emuus9X8xpA
"['Natalie', 'Justin Roman']","['spotify:artist:4lFOyLUXnV2Emuus9X8xpA', 'spotify:artist:4LaRmZcf9oGSNuv2Z10VAH']"
Brandy,spotify:artist:05oH07COxkXKIMt6mIPRee
Selena Gomez,spotify:artist:0C8ZW7ezQVs4URX5aX7Kqx
Chaka Khan,spotify:artist:6mQfAAqZGBzIfrmlZCeaYT
Double Exposure,spotify:artist:2ycdPM6Y4ioJzcmZRlp4Db
Pink Sweat$,spotify:artist:1W7FNibLa0O0b572tB2w7t
"['Anson Seabra', 'Mokita']","['spotify:artist:2jHp7gQArCQrlMvdrIVFCg', 'spotify:artist:3sKeaby6GMSJWgYueZaSjE']"
"['88rising', 'NIKI', 'Vory']","['spotify:artist:1AhjOkOLkbHUfcHDSErXQs', 'spotify:artist:2kxP07DLgs4xlWz8YHlvfh', 'spotify:artist:0GeeIVcvGA8GSlWsoY1dkG']"
LÉON,spotify:artist:4SqTiwOEdYrNayaGMkc7ia
"['New York Modular Society', 'Oneirine Electronic']","['spotify:artist:6dHB5Oj2SqG9RYopravCie', 'spotify:artist:375hIm12uwqtAMuEo93eNq']"
Mario,spotify:artist:20s0P9QLxGqKuCsGwFsp7w
Brandy,spotify:artist:05oH07COxkXKIMt6mIPRee
Whitney Houston,spotify:artist:6XpaIBNiVzIetEPCWDvAFP
Brandy,spotify:artist:05oH07COxkXKIMt6mIPRee
JoJo,spotify:artist:5xuNBZoM7z1Vv8IQ6uM0p6
"['Luther Vandross', 'Mariah Carey']","['spotify:artist:19y5MFBH7gohEdGwKM7QsP', 'spotify:artist:4iHNK0tOyZPYnBU7nGAgpQ']"
Ashanti,spotify:artist:5rkVyNGXEgeUqKkB5ccK83
JoJo,spotify:artist:5xuNBZoM7z1Vv8IQ6uM0p6
JoJo,spotify:artist:5xuNBZoM7z1Vv8IQ6uM0p6
Tamia,spotify:artist:0le01dl1WllSHhjEXRl4in
"['MINZY', 'Flowsik']","['spotify:artist:1ql28OzmgulHG2ldXFrbWp', 'spotify:artist:4N2CbwZ7ekytt9Oi5dh4Vq']"
Park Bom,spotify:artist:3uHb6dRazmcaT15bMexUtt
Usher,spotify:artist:23zg3TcAtWQy7J6upgbUnj
Khalid,spotify:artist:6LuN9FCkKOj5PcnpouEgny
Geek Music,spotify:artist:4TkCMPznXOjlsYLfzIU1rw
Muray,spotify:artist:1gw8PH4nhIqpYrcwsNq9zC
Kyo Kimura,spotify:artist:3LuFRbLUYA3A76bi1tFwZJ
Nazareth,spotify:artist:6fvN9GmMCVKb5LY0WsnjFP
BTS,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX
"['Hoody', 'GRAY']","['spotify:artist:7lXgbtBDcCRbfc5f8FhGUL', 'spotify:artist:50OV1tcz4LfzgLJbY4WLvt']"
Kai,spotify:artist:07cXXY7NDK9oWLUvPfUVvx
"['John Williams', 'London Symphony Orchestra']","['spotify:artist:3dRfiJ2650SZu6GbydcHNb', 'spotify:artist:5yxyJsFanEAuwSM5kOuZKc']"
Boyz II Men,spotify:artist:6O74knDqdv3XaWtkII7Xjp
"['Rufus', 'Chaka Khan']","['spotify:artist:3MCjwjfIor5FkK3h639qkW', 'spotify:artist:6mQfAAqZGBzIfrmlZCeaYT']"
Donny Hathaway,spotify:artist:0HU0U9kdXEHZVxUNbuQe8S
Janet Jackson,spotify:artist:4qwGe91Bz9K2T8jXTZ815W
After 7,spotify:artist:4UPcJIhr5K5fPsm4itqT7E
Rhys Lewis,spotify:artist:4T2k9bgIoC8bbqjqiEl9vZ
The Cardigans,spotify:artist:1tqZaCwM57UFKjWoYwMLrw
Tevin Campbell,spotify:artist:5VfqJBmXcf6ZqXoGij5qTE
