uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
spotify:track:5087hJq9c6KM6gGb7CsjDi,0.634,0.694,9,-10.17,1,0.059,0.000105,0.872,0.0917,0.402,121.004
spotify:track:4wlNPczIullwvmwb4x0ltz,0.311,0.0253,2,-30.561,1,0.04,0.976,0.897,0.123,0.251,116.816
spotify:track:7enI1KbQAwrMcu6Zf5FScf,0.727,0.82,11,-11.369,1,0.0473,0.0227,0.915,0.101,0.0785,122.001
spotify:track:70kjReiRu84hlsFze7CRyf,0.805,0.587,2,-9.382,1,0.0524,0.00021,0.905,0.0787,0.334,121.0
spotify:track:1bih91Y06qt9xHgEDK9Euj,0.698,0.842,6,-8.547,1,0.0356,0.000282,0.94,0.104,0.439,122.004
spotify:track:1wOONZvB0H8xJhzo0vU0k7,0.472,0.444,7,-10.459,0,0.04,0.159,0.851,0.0995,0.103,126.014
spotify:track:6u0A0WjtFsLAyNSyYjaPjK,0.609,0.629,1,-8.702,0,0.0334,0.00732,0.935,0.103,0.0459,124.018
spotify:track:0yIlw4BQeJbcH6Uxp3QSp8,0.553,0.883,9,-6.515,1,0.0523,0.0101,0.627,0.0704,0.0352,123.997
spotify:track:605IoEUjWcaWy0dhE7vf5I,0.491,0.226,9,-14.964,0,0.033,0.813,0.833,0.106,0.312,107.063
spotify:track:6zQnJ8yHqFpvlwXqrQKZkB,0.72,0.572,7,-12.665,0,0.0446,0.693,0.95,0.1,0.0382,120.005
spotify:track:2b5KqyE5W3ElcMFo8CNMaL,0.714,0.826,4,-9.128,0,0.0337,0.0227,0.54,0.112,0.317,120.007
spotify:track:3K3sNkphzlnrhVUUfia4Qi,0.8,0.622,10,-11.133,1,0.054,0.0182,0.877,0.0935,0.113,120.011
spotify:track:2uypf8R2GWxAWrY1iibxXt,0.87,0.464,9,-12.556,0,0.0433,0.055,0.884,0.0913,0.119,118.016
spotify:track:1wkFQiMxLCQAaZR38zWWy7,0.551,0.741,5,-13.911,1,0.0346,0.347,0.835,0.112,0.142,121.999
spotify:track:3f9Mzx5Kp1R5ccC1ut13Lv,0.708,0.891,10,-7.773,0,0.0402,0.326,0.897,0.127,0.307,107.621
spotify:track:22QqdID63vXQ8rqT4TKwSy,0.61,0.594,11,-11.788,0,0.0351,0.00408,0.88,0.296,0.493,117.004
spotify:track:1WVD258Gh7r0TNuyJ9Hu9l,0.477,0.172,9,-18.471,0,0.0459,0.964,0.763,0.39,0.325,179.564
spotify:track:4umLzOBGXqKqNVAuYJqAGi,0.656,0.834,0,-13.942,1,0.0488,0.74,0.877,0.103,0.0384,124.999
spotify:track:4QFeo99KKmp0WAYAKahxN5,0.662,0.264,7,-18.225,0,0.0361,0.913,0.931,0.123,0.662,122.391
spotify:track:6McMFafHT6BRRzXtpHJPDD,0.962,0.389,7,-16.705,1,0.412,0.0162,0.679,0.448,0.306,114.988
spotify:track:52L7fjH7wVsmOmeGHI6rJx,0.676,0.85,1,-12.228,1,0.0441,0.001,0.66,0.279,0.0892,119.997
spotify:track:40Bld18MKjv2gnJwwNEUzb,0.74,0.636,11,-12.456,1,0.0359,0.126,0.8,0.0692,0.296,120.006
spotify:track:53ynuUWSqBomfgAsYxn2u9,0.739,0.815,1,-10.512,1,0.0448,0.0172,0.899,0.0998,0.322,126.969
spotify:track:0g14q3zrGDf8GiVH8WnDl8,0.412,0.0859,0,-18.882,0,0.0433,0.976,0.9,0.123,0.0713,109.403
spotify:track:33y3KCpigCohhxeC9OrIhi,0.801,0.358,11,-12.833,0,0.0501,0.0827,0.849,0.111,0.0738,122.006
spotify:track:1hNumMXSvopwCGFvwlvx7k,0.582,0.591,10,-14.428,0,0.0307,0.674,0.903,0.079,0.0753,125.005
spotify:track:2xlb1yXTcqa4rTn7Ju9qDT,0.771,0.606,11,-9.952,1,0.0376,0.0081,0.915,0.108,0.586,123.027
spotify:track:2RS0DsNxOJIbK5fTb7HSqc,0.818,0.513,7,-12.499,1,0.0524,0.0782,0.641,0.108,0.0583,120.05
